Date,EUR_USD,USD_EUR,Type,Country,Metric,Value
2026-08-05 00:00,1.1532,0.8671,Forex,,,
2026-08-06 00:00,1.1557,0.8652,Forex,,,
2026-08-07 00:00,1.1525,0.8677,Forex,,,
2026-08-10 00:00,1.1556,0.8653,Forex,,,
2026-08-11 00:00,1.1546,0.8661,Forex,,,
2026-08-12 00:00,1.1544,0.8663,Forex,,,
2026-08-13 00:00,1.153,0.8673,Forex,,,
2026-08-14 00:00,1.1535,0.8669,Forex,,,
2026-08-17 00:00,1.1574,0.864,Forex,,,
2026-08-18 00:00,1.1583,0.8633,Forex,,,
2026-08-19 00:00,1.1579,0.8636,Forex,,,
2026-08-20 00:00,1.1674,0.8566,Forex,,,
2026-08-21 00:00,1.1688,0.8556,Forex,,,
2026-08-24 00:00,1.1688,0.8556,Forex,,,
1970-01-01 00:00,,,Macro,DEU,Inflation,3.45
1971-01-01 00:00,,,Macro,DEU,Inflation,5.24
1972-01-01 00:00,,,Macro,DEU,Inflation,5.48
1973-01-01 00:00,,,Macro,DEU,Inflation,7.03
1974-01-01 00:00,,,Macro,DEU,Inflation,6.99
1975-01-01 00:00,,,Macro,DEU,Inflation,5.91
1976-01-01 00:00,,,Macro,DEU,Inflation,4.25
1977-01-01 00:00,,,Macro,DEU,Inflation,3.73
1978-01-01 00:00,,,Macro,DEU,Inflation,2.72
1979-01-01 00:00,,,Macro,DEU,Inflation,4.04
1980-01-01 00:00,,,Macro,DEU,Inflation,5.44
1981-01-01 00:00,,,Macro,DEU,Inflation,6.34
1982-01-01 00:00,,,Macro,DEU,Inflation,5.24
1983-01-01 00:00,,,Macro,DEU,Inflation,3.29
1984-01-01 00:00,,,Macro,DEU,Inflation,2.41
1985-01-01 00:00,,,Macro,DEU,Inflation,2.07
1986-01-01 00:00,,,Macro,DEU,Inflation,-0.13
1987-01-01 00:00,,,Macro,DEU,Inflation,0.25
1988-01-01 00:00,,,Macro,DEU,Inflation,1.27
1989-01-01 00:00,,,Macro,DEU,Inflation,2.78
1990-01-01 00:00,,,Macro,DEU,Inflation,2.7
1991-01-01 00:00,,,Macro,DEU,Inflation,4.05
1992-01-01 00:00,,,Macro,DEU,Inflation,5.06
1993-01-01 00:00,,,Macro,DEU,Inflation,4.47
1994-01-01 00:00,,,Macro,DEU,Inflation,2.69
1995-01-01 00:00,,,Macro,DEU,Inflation,1.71
1996-01-01 00:00,,,Macro,DEU,Inflation,1.45
1997-01-01 00:00,,,Macro,DEU,Inflation,1.94
1998-01-01 00:00,,,Macro,DEU,Inflation,0.91
1999-01-01 00:00,,,Macro,DEU,Inflation,0.59
2000-01-01 00:00,,,Macro,DEU,Inflation,1.44
2001-01-01 00:00,,,Macro,DEU,Inflation,1.98
2002-01-01 00:00,,,Macro,DEU,Inflation,1.42
2003-01-01 00:00,,,Macro,DEU,Inflation,1.03
2004-01-01 00:00,,,Macro,DEU,Inflation,1.67
2005-01-01 00:00,,,Macro,DEU,Inflation,1.55
2006-01-01 00:00,,,Macro,DEU,Inflation,1.58
2007-01-01 00:00,,,Macro,DEU,Inflation,2.3
2008-01-01 00:00,,,Macro,DEU,Inflation,2.63
2009-01-01 00:00,,,Macro,DEU,Inflation,0.31
2010-01-01 00:00,,,Macro,DEU,Inflation,1.1
2011-01-01 00:00,,,Macro,DEU,Inflation,2.08
2012-01-01 00:00,,,Macro,DEU,Inflation,2.01
2013-01-01 00:00,,,Macro,DEU,Inflation,1.5
2014-01-01 00:00,,,Macro,DEU,Inflation,0.91
2015-01-01 00:00,,,Macro,DEU,Inflation,0.51
2016-01-01 00:00,,,Macro,DEU,Inflation,0.49
2017-01-01 00:00,,,Macro,DEU,Inflation,1.51
2018-01-01 00:00,,,Macro,DEU,Inflation,1.73
2019-01-01 00:00,,,Macro,DEU,Inflation,1.45
2020-01-01 00:00,,,Macro,DEU,Inflation,0.14
2021-01-01 00:00,,,Macro,DEU,Inflation,3.07
2022-01-01 00:00,,,Macro,DEU,Inflation,6.87
2023-01-01 00:00,,,Macro,DEU,Inflation,5.95
2024-01-01 00:00,,,Macro,DEU,Inflation,2.26
1970-01-01 00:00,,,Macro,DEU,GDP_Growth,5.1
1971-01-01 00:00,,,Macro,DEU,GDP_Growth,3.13
1972-01-01 00:00,,,Macro,DEU,GDP_Growth,4.3
1973-01-01 00:00,,,Macro,DEU,GDP_Growth,4.78
1974-01-01 00:00,,,Macro,DEU,GDP_Growth,0.89
1975-01-01 00:00,,,Macro,DEU,GDP_Growth,-0.87
1976-01-01 00:00,,,Macro,DEU,GDP_Growth,4.95
1977-01-01 00:00,,,Macro,DEU,GDP_Growth,3.35
1978-01-01 00:00,,,Macro,DEU,GDP_Growth,3.01
1979-01-01 00:00,,,Macro,DEU,GDP_Growth,4.15
1980-01-01 00:00,,,Macro,DEU,GDP_Growth,1.41
1981-01-01 00:00,,,Macro,DEU,GDP_Growth,0.53
1982-01-01 00:00,,,Macro,DEU,GDP_Growth,-0.39
1983-01-01 00:00,,,Macro,DEU,GDP_Growth,1.57
1984-01-01 00:00,,,Macro,DEU,GDP_Growth,2.82
1985-01-01 00:00,,,Macro,DEU,GDP_Growth,2.33
1986-01-01 00:00,,,Macro,DEU,GDP_Growth,2.29
1987-01-01 00:00,,,Macro,DEU,GDP_Growth,1.4
1988-01-01 00:00,,,Macro,DEU,GDP_Growth,3.71
1989-01-01 00:00,,,Macro,DEU,GDP_Growth,3.9
1990-01-01 00:00,,,Macro,DEU,GDP_Growth,5.26
1991-01-01 00:00,,,Macro,DEU,GDP_Growth,5.11
1992-01-01 00:00,,,Macro,DEU,GDP_Growth,2.01
1993-01-01 00:00,,,Macro,DEU,GDP_Growth,-0.97
1994-01-01 00:00,,,Macro,DEU,GDP_Growth,2.6
1995-01-01 00:00,,,Macro,DEU,GDP_Growth,1.5
1996-01-01 00:00,,,Macro,DEU,GDP_Growth,1.04
1997-01-01 00:00,,,Macro,DEU,GDP_Growth,1.85
1998-01-01 00:00,,,Macro,DEU,GDP_Growth,2.1
1999-01-01 00:00,,,Macro,DEU,GDP_Growth,2.13
2000-01-01 00:00,,,Macro,DEU,GDP_Growth,2.88
2001-01-01 00:00,,,Macro,DEU,GDP_Growth,1.64
2002-01-01 00:00,,,Macro,DEU,GDP_Growth,-0.23
2003-01-01 00:00,,,Macro,DEU,GDP_Growth,-0.53
2004-01-01 00:00,,,Macro,DEU,GDP_Growth,1.16
2005-01-01 00:00,,,Macro,DEU,GDP_Growth,0.89
2006-01-01 00:00,,,Macro,DEU,GDP_Growth,3.87
2007-01-01 00:00,,,Macro,DEU,GDP_Growth,2.89
2008-01-01 00:00,,,Macro,DEU,GDP_Growth,0.89
2009-01-01 00:00,,,Macro,DEU,GDP_Growth,-5.54
2010-01-01 00:00,,,Macro,DEU,GDP_Growth,4.13
2011-01-01 00:00,,,Macro,DEU,GDP_Growth,3.76
